ObjectID,Name,OriginID,Destinatio,Destinat_1,NetwTime
1,1 - 1,1,1,1,21.64119611590
2,1 - 5,1,5,2,26.59240065130
3,1 - 2,1,2,3,27.71912994910
4,1 - 7,1,7,4,29.71834484420
5,1 - 3,1,3,5,34.96640128380
6,1 - 4,1,4,6,35.76786254180
7,1 - 6,1,6,7,33.78746828880
8,1 - 9,1,9,8,35.64790103410
9,1 - 94,1,94,9,37.16384519540
10,1 - 10,1,10,10,36.45475213800
11,1 - 130,1,130,11,59.11751912880
12,1 - 133,1,133,12,53.16563688140
13,1 - 73,1,73,13,40.86720723330
14,1 - 12,1,12,14,48.41444883920
15,1 - 95,1,95,15,47.12743168850
16,1 - 70,1,70,16,36.45033099070
17,1 - 66,1,66,17,38.69784015740
18,1 - 92,1,92,18,38.55268923020
19,1 - 93,1,93,19,40.33171993880
20,1 - 67,1,67,20,38.59765151030
21,1 - 69,1,69,21,38.94125106130
22,1 - 64,1,64,22,40.44120232050
23,1 - 79,1,79,23,48.73504527690
24,1 - 62,1,62,24,41.12089083360
25,1 - 72,1,72,25,41.01840281360
26,1 - 61,1,61,26,41.91339049920
27,1 - 63,1,63,27,40.43874024840
28,1 - 74,1,74,28,40.42150372810
29,1 - 8,1,8,29,74.97168042880
30,1 - 59,1,59,30,41.00989562820
31,1 - 71,1,71,31,42.30408665670
32,1 - 33,1,33,32,42.00479487460
33,1 - 58,1,58,33,41.83559713040
34,1 - 68,1,68,34,42.80864546970
35,1 - 91,1,91,35,47.29405789210
36,1 - 65,1,65,36,42.43107638390
37,1 - 40,1,40,37,41.46544430130
38,1 - 60,1,60,38,42.64865931440
39,1 - 118,1,118,39,65.79463479550
40,1 - 38,1,38,40,43.57732288780
41,1 - 90,1,90,41,44.61184315050
42,1 - 32,1,32,42,43.35502087930
43,1 - 35,1,35,43,42.74327610840
44,1 - 26,1,26,44,43.40265556900
45,1 - 104,1,104,45,43.49331204540
46,1 - 34,1,34,46,42.21923813070
47,1 - 132,1,132,47,46.94536826220
48,1 - 56,1,56,48,43.00711455790
49,1 - 55,1,55,49,44.89965187480
50,1 - 37,1,37,50,42.75040591290
51,1 - 102,1,102,51,44.16201912980
52,1 - 30,1,30,52,44.71153506620
53,1 - 39,1,39,53,45.65490526650
54,1 - 78,1,78,54,45.11112754620
55,1 - 89,1,89,55,48.09365580530
56,1 - 29,1,29,56,44.00676185160
57,1 - 57,1,57,57,44.42809916400
58,1 - 31,1,31,58,44.14244389550
59,1 - 105,1,105,59,44.51542932170
60,1 - 126,1,126,60,54.22498216550
61,1 - 28,1,28,61,44.93326553030
62,1 - 42,1,42,62,45.66472051100
63,1 - 100,1,100,63,45.22234058920
64,1 - 53,1,53,64,47.93342942830
