OBJECTID,GEOID10,employment,MBG_Diamet,trtID,res_worker,Shape_Length,Shape_Area
1,22005030101,675.000000000000000,8478.681504649999600,1,2705.000000000000000,29023.440934855767000,30653940.102869947000000
2,22005030102,740.000000000000000,5882.555460620000300,2,2415.000000000000000,16289.322051041396000,15922848.131731091000000
3,22005030103,695.000000000000000,10563.850342899999000,3,2795.000000000000000,33230.274001992286000,41095957.970063195000000
4,22005030203,2695.000000000000000,9441.537322190000900,4,4820.000000000000000,30283.016050812003000,27388036.766496394000000
5,22005030204,1050.000000000000000,7498.951288399999600,5,5070.000000000000000,19619.299251361990000,18267778.229562540000000
6,22005030205,1850.000000000000000,6651.113071920000000,6,4625.000000000000000,17858.987989446312000,16230285.582889063000000
7,22005030206,2015.000000000000000,7830.195720069999900,7,3845.000000000000000,20502.270224309239000,20956538.712888569000000
8,22005030300,4675.000000000000000,30974.336312600000000,8,5745.000000000000000,100723.134782359730000,186033250.667551130000000
9,22005030401,4295.000000000000000,7629.670816070000000,9,2165.000000000000000,20163.810415476433000,15305176.124974255000000
10,22005030402,4745.000000000000000,7135.983573890000100,10,3200.000000000000000,17456.898375948698000,12526045.866496937000000
11,22005030500,1245.000000000000000,26570.046652800000000,11,4155.000000000000000,86112.186757567310000,185452808.772167770000000
12,22005030600,3900.000000000000000,16837.376863900001000,12,2200.000000000000000,41711.628149093071000,68691032.763954565000000
13,22005030900,1110.000000000000000,17395.564356999999000,13,1555.000000000000000,55698.786548448588000,105063056.901339680000000
14,22005031000,4265.000000000000000,11699.422999200000000,14,2300.000000000000000,32555.692731821546000,40781568.626541734000000
15,22033000100,370.000000000000000,2261.653837010000200,15,980.000000000000000,5942.111532282403500,1916338.046789578600000
16,22033000200,2045.000000000000000,3589.401567299999900,16,595.000000000000000,9392.153643737139600,3893257.310946154400000
17,22033000300,2670.000000000000000,2034.555641989999900,17,515.000000000000000,5350.885439457821100,1739746.377701370300000
18,22033000400,795.000000000000000,1939.303248450000000,18,410.000000000000000,5622.681714428337700,1732204.218971885700000
19,22033000500,895.000000000000000,2327.438781849999900,19,1870.000000000000000,6459.737359871083800,2326052.638129271600000
