STATION,ADT1,OBJECTID_1
170414,41,14303
170413,68,14304
170411,251,14324
170415,69,14391
170378,10021,14733
170410,670,14784
170412,360,14785
170408,18808,14808
170436,927,15003
170404,16017,15095
170405,5323,15270
170375,282,15294
170406,10166,15327
170409,982,15346
170438,1134,15585
170429,684,15607
170430,14455,15690
170427,973,15700
170428,1572,15728
170399,6561,15802
170400,70,15900
170369,2533,15920
170439,251,15990
170377,10983,16051
170374,140,16058
170370,949,16064
170372,721,16227
170373,608,16228
170691,14518,16245
170383,542,16318
170842,332,16389
170367,1410,16431
170416,3090,16566
170380,925,16685
170379,17277,16855
170398,6484,16944
170371,201,17124
170385,15053,17216
170418,6167,17375
170426,32083,17450
170690,15047,17659
170363,427,17686
170386,10330,18033
170689,733,18347
170419,130,18767
170688,29638,18842
170388,118,18869
170420,155,18883
170682,663,18945
170393,149,19375
170395,535,19392
170421,6951,19511
170355,3813,20636
170683,1386,20693
170703,12512,20944
170353,1732,21145
170681,7144,21373
170431,23468,21558
170702,12353,21636
170434,38610,21923
170701,45468,22648
170680,8233,22695
170423,3227,22717
170700,29553,23108
170832,15182,23268
170684,24992,23360
170679,23256,23496
170678,19230,24100
170677,34047,24198
170831,31675,24341
170424,4637,24478
170676,7043,25200
170674,40698,25292
170675,5976,25706
170673,17298,26627
170686,27136,27370
170685,28179,27410
170830,24561,27569
170672,23252,27607
170347,4783,27772
170829,29402,29134
170345,16238,29166
170349,24487,29408
170699,53337,29419
170348,13728,29468
170693,15782,30233
170692,23188,30372
170835,9715,30579
170697,19450,30703
170698,47590,30719
170827,9404,30779
170826,9893,30807
170667,3499,31262
170668,12426,31289
170666,265,31764
170669,11802,31954
170838,15777,32110
170660,4063,32717
170664,13119,32760
170665,3720,32883
170694,347,33122
170663,20226,33649
170661,21787,33870
170839,21302,34016
170658,2338,34131
170614,19118,34483
170657,3221,34618
170836,7913,34619
170609,10867,34781
170645,15608,34851
170659,4060,35391
170338,18949,35659
170837,1048,35849
170611,13620,36987
170339,13730,37327
170655,10553,37732
170612,15949,37747
170613,12345,37858
170643,4496,37915
170642,5038,38069
170656,1676,38122
170654,9651,38473
170604,10214,38624
170606,23943,39010
170342,1535,39082
170608,11874,39910
170341,22123,39992
170647,12527,40438
170623,20690,40603
170646,2467,41020
170818,11,41067
170337,12253,41174
170819,19,41440
170615,3604,41494
170651,3165,41596
170652,3808,41607
170648,7549,41827
170641,15357,41922
170640,13830,41974
170624,23225,42038
170653,7645,42039
170622,8712,42111
170616,18644,42175
170618,20920,42188
170621,16711,42216
170649,9078,42295
170620,20241,42310
170617,19855,42321
170625,19341,42525
170619,10705,42537
170823,22829,42626
170824,17714,42654
170825,15936,42745
170603,17592,42856
170639,7965,43448
170638,8125,43636
170595,5090,43751
170599,134,43866
170593,8929,43883
170594,1647,44169
170597,703,44307
170607,13817,44344
170636,3717,44544
170637,6982,44673
170336,32801,44696
170834,1776,44969
170602,570,45016
170635,20740,45587
170592,9683,45787
170632,9166,46099
170631,4458,46348
170633,11473,46473
170634,10396,46571
170589,3184,46792
170320,583,47680
170587,1883,47733
170628,10639,47823
170630,3862,47832
170627,2416,47902
170629,8708,47909
170821,11040,47935
170333,12827,48035
170822,10425,48477
170585,18403,48527
170584,3304,49023
170586,12247,49239
170576,641,49853
170820,6802,49855
170578,1372,50033
170582,8144,50544
170574,1993,50980
170318,1335,51087
170314,172,51236
170579,2473,51244
170326,19357,51630
170312,847,51682
170570,2339,51860
170572,11522,52011
170565,816,52127
170327,295,52580
170569,6216,52598
170563,2094,52702
170331,317,53002
170555,14580,53121
170535,961,53152
170557,23568,53221
170556,24331,53241
170536,1776,53377
170533,101,53458
170553,21188,53567
170552,18693,53650
170291,162,53664
170538,4889,53738
170537,3122,53752
170551,7400,54038
170288,8236,54203
170539,1641,54214
170287,17398,54411
170308,12620,54682
170286,5756,54736
170527,6462,54916
170529,374,54929
170541,31468,55195
170547,2643,55215
170301,86,55260
170296,14765,55559
170544,4625,55566
170543,32143,55743
170282,12543,56000
170297,676,56112
170523,152,56372
170524,27324,56410
170522,27935,56519
170283,9546,56597
170521,2377,56764
170280,20055,56895
170228,10174,57040
170545,1679,57086
170057,5138,57103
170227,182,57151
170258,31589,57163
170229,9929,57168
170257,7489,57201
170259,6336,57228
170231,295,57266
170260,3685,57278
170256,28994,57310
170055,26563,57339
170235,214,57379
170226,325,57380
170238,378,57486
170237,180,57487
170279,3167,57532
170049,2209,57652
170225,1397,57796
170276,5566,57878
170054,2603,57883
170269,274,58043
170277,437,58159
170278,5627,58174
170264,877,58388
170270,2865,58439
170503,27371,58530
170223,318,58534
170495,2584,58592
170272,983,58600
170499,7994,58629
170051,1729,58643
170488,26,58643
170504,1302,58666
170255,7144,58691
170487,211,58952
170505,747,58987
170501,255,59118
170253,4289,59158
170251,17818,59362
170252,8846,59389
170510,391,59642
170239,930,59686
170494,4550,59742
170493,9364,59993
170492,4607,60013
170491,2983,60099
170506,4391,60139
170468,920,60166
170212,1413,60307
170058,7751,60355
170060,2185,60357
170473,2047,60359
170466,43,60363
170216,4616,60401
170515,803,60428
170514,336,60499
170483,2376,60649
170474,22215,60653
170475,3930,60654
170241,1153,60658
170472,153,60769
170517,1992,60870
170248,473,60989
170247,1654,61004
170476,21557,61049
170477,19904,61081
170209,103,61138
170245,1027,61258
170249,99,61318
170246,2853,61320
170207,348,61323
170061,2007,61351
170243,419,61359
170206,1047,61401
170205,202,61449
170204,523,61460
170203,2948,61469
170244,197,61567
170048,324,61610
170470,474,61750
170046,269,61770
170047,1418,61777
170479,117,62045
170045,15929,62048
170210,1107,62060
170484,395,62183
170463,567,62207
170044,472,62273
170462,920,62295
170153,34,62390
170148,1178,62396
170202,73,62411
170151,791,62424
170152,299,62425
170149,39,62445
170154,5310,62477
170064,16705,62491
170155,1228,62509
170063,2054,62552
170067,2004,62706
170461,1797,62796
170043,320,62814
170066,233,62830
170042,178,62859
170145,8421,62896
170065,352,62926
170036,226,62999
170460,3321,63017
170459,2765,63081
170144,2472,63087
170187,208,63100
170110,11608,63117
170146,10860,63134
170143,1451,63151
170033,2971,63256
170034,64,63257
170035,6662,63313
170037,212,63314
170111,2123,63322
170158,1355,63351
170142,1224,63363
170840,19742,63448
170451,3484,63515
170448,2856,63516
170455,916,63545
170069,17944,63568
170450,1447,63681
170157,63,63688
170156,862,63689
170038,6718,63702
170039,204,63703
170445,2556,63719
170458,1544,63732
170141,66,63802
170159,720,63809
170444,2353,63814
170040,174,63874
170068,1427,63968
170032,3518,63979
170443,381,64020
170185,2272,64116
170186,457,64117
170841,18019,64186
170442,2224,64301
170184,709,64310
170030,195,64417
170031,2659,64418
170074,2588,64431
170137,240,64524
170072,315,64559
170441,12363,64584
170070,825,64587
170071,517,64659
170021,1311,64691
170073,919,64702
170183,514,64820
170108,2017,64865
170075,1106,64885
170138,680,64905
170136,716,64906
170135,560,64915
170026,587,64919
170182,167,64950
170010,83,65005
170020,1595,65027
170134,809,65042
170009,162,65057
170027,352,65065
170008,233,65066
170007,420,65084
170133,209,65106
170076,11738,65156
170005,585,65165
170004,2186,65206
170019,2183,65249
170105,1904,65354
170107,896,65363
170127,87,65381
170160,377,65392
170161,287,65427
170012,258,65506
170080,343,65541
170077,2610,65556
170081,3329,65575
170189,2749,65582
170079,268,65596
170078,561,65641
170018,512,65671
170011,425,65694
170106,693,65697
170131,1555,65762
170130,791,65763
170128,1712,65772
170003,16400,65779
170126,255,65783
170124,1213,65803
170162,941,65908
170017,3906,65926
170112,1876,65965
170113,1357,65966
170015,298,65976
170102,329,65998
170013,2214,66006
170099,1074,66066
170082,9330,66091
170201,2587,66163
170190,145,66206
170103,234,66226
170119,734,66237
170125,52,66262
170083,647,66338
170084,205,66375
170166,38,66397
170168,2334,66432
170167,1199,66435
170181,126,66438
170169,2144,66462
170170,1385,66472
170200,355,66480
170002,13718,66540
170085,474,66543
170180,1175,66567
170086,307,66585
170165,48,66592
170101,108,66620
170089,712,66630
170098,937,66669
170087,330,66676
170123,444,66714
170097,1110,66744
170088,268,66793
170192,96,66851
170001,2463,66878
170129,1086,66887
170115,1072,66908
170094,546,66980
170096,1207,66995
170093,97,66996
170014,2026,67066
170092,400,67088
170116,1575,67124
170090,351,67159
170121,759,67160
170176,1100,67200
170175,63,67208
170173,155,67230
170163,36,67245
170197,141,67250
170122,140,67289
170164,758,67306
170198,2873,67312
170118,1334,67315
170016,205,67331
170117,1031,67354
170095,8924,67356
170193,400,67401
170177,1076,67408
170120,354,67410
170172,571,67578
170178,221,67670
170195,144,67706
170196,89,67729
170179,502,67753
170199,2796,67908
170846,564,14754
170853,208,14976
170851,395,15100
170852,977,15100
170848,800,15247
170847,1532,15398
170849,9258,15809
171148,1845,15939
171144,5696,15969
170845,42,16211
170844,440,16432
170843,166,16618
171147,312,16827
170864,20575,16958
171141,2075,17026
171146,370,17131
171181,616,17312
170863,816,17764
171145,1165,18304
171142,2099,18506
171149,179,18518
171176,350,18705
171177,2091,18896
171179,101,19177
170862,1324,19628
171167,1063,19759
171121,513,19917
171120,1191,20029
170880,23051,20043
171166,827,20348
171125,44132,20474
170878,17989,20505
170877,22425,20702
171183,740,20890
171178,246,20954
170879,31572,21107
171111,20550,21171
171180,1066,21430
171160,19180,21566
170861,14277,21787
170876,21307,21844
171136,14494,21906
171117,13750,22158
171110,28928,22212
171118,5018,22790
171119,544,22898
170873,23975,23032
171192,759,23049
171190,1134,23115
171107,7255,23294
170872,15868,23428
170874,3061,23536
171164,191,23639
171165,279,23935
171108,10453,23943
171116,2873,24053
171109,16457,24170
171202,1047,24188
171191,254,24370
171126,2371,24469
171139,23703,24811
171124,205,24812
171200,1926,24813
171201,518,25017
171140,16725,25187
171134,33945,25195
171138,20755,25211
171133,34119,25321
171135,24052,25347
171189,322,25369
171128,2577,25407
171114,2794,25441
171123,1591,25494
171127,2473,25567
171132,43356,25684
171199,253,25749
171216,716,25825
171112,3529,25896
171122,1385,26085
171162,522,26132
171163,1195,26139
171115,1294,26253
171198,237,26358
171129,8523,26455
171130,47452,26801
171113,28177,26804
171022,2874,26925
171175,580,27024
171066,9706,27053
171065,6469,27269
171020,5736,27377
171081,230,27398
171021,1966,27401
171067,26659,27442
171023,4168,27493
171024,13366,27494
171025,2103,27503
171197,3512,27556
171174,2820,27756
171019,1179,27886
171188,1239,28285
171048,601,28444
171196,2011,28501
171173,270,28606
171063,528,28639
171068,33675,28699
171194,1227,28788
171047,15981,28850
171049,1120,28869
171215,829,28969
171172,685,28974
171069,7688,29170
171195,322,29288
171105,15607,29618
171046,1771,29861
171083,163,29896
171193,555,30331
171045,11295,30557
171062,271,30684
171044,648,30792
171018,1305,30832
171159,36153,31059
171043,480,31193
171027,3117,31206
171052,3129,31224
171026,3593,31248
171035,3333,31275
171057,1737,31275
171061,5323,31283
171058,5766,31295
171042,4401,31337
171070,3253,31344
171187,269,31383
171033,4980,31447
