stationID	observed	simulated
170414	41	3
170413	68	2
170411	251	30
170415	69	2
170378	10021	45
170410	670	42
170412	360	14
170408	18808	271
170436	927	191
170404	16017	455
170405	5323	1361
170375	282	4
170406	10166	154
170409	982	56
170438	1134	192
170429	684	22
170430	14455	414
170427	973	51
170428	1572	46
170399	6561	205
170400	70	34
170369	2533	153
170439	251	204
170377	10983	79
170374	140	3
170370	949	50
170372	721	34
170373	608	22
170691	14518	222
170383	542	38
170842	332	9
170367	1410	13
170416	3090	80
170380	925	29
170379	17277	269
170398	6484	221
170371	201	7
170385	15053	382
170418	6167	113
170426	32083	511
170690	15047	1147
170363	427	11
170386	10330	319
170689	733	13
170419	130	16
170688	29638	402
170388	118	2
170420	155	12
170682	663	295
170393	149	0
170395	535	0
170421	6951	180
170355	3813	21
170683	1386	22
170703	12512	407
170353	1732	61
170681	7144	131
170431	23468	2076
170702	12353	163
170434	38610	1199
170701	45468	1542
170680	8233	264
170423	3227	12
170700	29553	320
170832	15182	7
170684	24992	1359
170679	23256	863
170678	19230	891
170677	34047	203
170831	31675	1178
170424	4637	10
170676	7043	881
170674	40698	15
170675	5976	625
170673	17298	1811
170686	27136	1829
170685	28179	1551
170830	24561	262
170672	23252	1624
170347	4783	210
170829	29402	3876
170345	16238	432
170349	24487	856
170699	53337	915
170348	13728	741
170693	15782	261
170692	23188	184
170835	9715	785
170697	19450	1101
170698	47590	3385
170827	9404	188
170826	9893	419
170667	3499	448
170668	12426	304
170666	265	33
170669	11802	88
170838	15777	1403
170660	4063	26
170664	13119	267
170665	3720	22
170694	347	2236
170663	20226	5
170661	21787	238
170839	21302	530
170658	2338	6
170614	19118	1434
170657	3221	3
170836	7913	34
170609	10867	363
170645	15608	946
170659	4060	28
170338	18949	628
170837	1048	300
170611	13620	1298
170339	13730	255
170655	10553	21
170612	15949	567
170613	12345	1332
170643	4496	305
170642	5038	252
170656	1676	65
170654	9651	14
170604	10214	518
170606	23943	2023
170342	1535	112
170608	11874	422
170341	22123	572
170647	12527	1161
170623	20690	639
170646	2467	54
170818	11	14
170337	12253	499
170819	19	28
170615	3604	32
170651	3165	38
170652	3808	228
170648	7549	603
170641	15357	170
170640	13830	1305
170624	23225	651
170653	7645	168
170622	8712	698
170616	18644	1246
170618	20920	1663
170621	16711	1380
170649	9078	175
170620	20241	918
170617	19855	954
170625	19341	748
170619	10705	363
170823	22829	656
170824	17714	414
170825	15936	289
170603	17592	772
170639	7965	370
170638	8125	15
170595	5090	664
170599	134	7
170593	8929	459
170594	1647	87
170597	703	24
170607	13817	253
170636	3717	9
170637	6982	32
170336	32801	913
170834	1776	13
170602	570	23
170635	20740	223
170592	9683	265
170632	9166	32
170631	4458	289
170633	11473	534
170634	10396	360
170589	3184	217
170320	583	52
170587	1883	21
170628	10639	610
170630	3862	214
170627	2416	13
170629	8708	908
170821	11040	335
170333	12827	221
170822	10425	577
170585	18403	677
170584	3304	20
170586	12247	354
170576	641	47
170820	6802	201
170578	1372	18
170582	8144	53
170574	1993	2
170318	1335	20
170314	172	0
170579	2473	25
170326	19357	378
170312	847	8
170570	2339	24
170572	11522	19
170565	816	50
170327	295	21
170569	6216	10
170563	2094	59
170331	317	17
170555	14580	310
170535	961	5
170557	23568	322
170556	24331	494
170536	1776	9
170533	101	2
170553	21188	453
170552	18693	315
170291	162	9
170538	4889	6
170537	3122	32
170551	7400	173
170288	8236	294
170539	1641	26
170287	17398	135
170308	12620	229
170286	5756	145
170527	6462	31
170529	374	6
170541	31468	1642
170547	2643	120
170301	86	0
170296	14765	366
170544	4625	196
170543	32143	1404
170282	12543	183
170297	676	11
170523	152	11
170524	27324	3
170522	27935	611
170283	9546	103
170521	2377	35
170280	20055	432
170228	10174	360
170545	1679	15
170057	5138	59
170227	182	0
170258	31589	222
170229	9929	94
170257	7489	118
170259	6336	151
170231	295	0
170260	3685	26
170256	28994	734
170055	26563	1167
170235	214	0
170226	325	0
170238	378	0
170237	180	0
170279	3167	51
170049	2209	32
170225	1397	81
170276	5566	92
170054	2603	5
170269	274	8
170277	437	3
170278	5627	37
170264	877	26
170270	2865	81
170503	27371	684
170223	318	2
170495	2584	32
170272	983	6
170499	7994	26
170051	1729	23
170488	26	23
170504	1302	12
170255	7144	64
170487	211	1
170505	747	42
170501	255	14
170253	4289	82
170251	17818	527
170252	8846	148
170510	391	1
170239	930	62
170494	4550	1
170493	9364	153
170492	4607	64
170491	2983	40
170506	4391	22
170468	920	23
170212	1413	6
170058	7751	367
170060	2185	72
170473	2047	12
170466	43	0
170216	4616	31
170515	803	5
170514	336	5
170483	2376	19
170474	22215	594
170475	3930	19
170241	1153	13
170472	153	0
170517	1992	118
170248	473	21
170247	1654	92
170476	21557	577
170477	19904	573
170209	103	3
170245	1027	9
170249	99	11
170246	2853	88
170207	348	4
170061	2007	40
170243	419	4
