O_id,D_id,#Trips
1,1,8
1,2,5
1,3,4
1,4,9
1,5,9
1,6,7
1,7,9
1,8,3
1,9,10
1,10,12
1,11,1
1,12,6
1,13,0
1,14,2
1,15,0
1,16,2
1,17,3
1,18,1
1,19,2
1,20,0
1,21,2
1,22,0
1,23,4
1,24,3
1,25,2
1,26,10
1,27,2
1,28,6
1,29,4
1,30,10
1,31,5
1,32,6
1,33,17
1,34,0
1,35,3
1,36,2
1,37,2
1,38,5
1,39,8
1,40,4
1,41,7
1,42,6
1,43,5
1,44,2
1,45,2
1,46,1
1,47,0
1,48,2
1,49,3
1,50,0
1,51,1
1,52,1
1,53,5
1,54,2
1,55,8
1,56,1
1,57,4
1,58,5
1,59,3
1,60,3
1,61,27
1,62,13
1,63,18
1,64,10
1,65,2
1,66,9
1,67,6
1,68,3
1,69,7
1,70,11
1,71,7
1,72,9
1,73,24
1,74,2
1,75,2
1,76,1
1,77,2
1,78,1
1,79,3
1,80,2
1,81,1
1,82,1
1,83,1
1,84,0
1,85,0
1,86,0
1,87,1
1,88,0
1,89,3
1,90,3
1,91,4
1,92,2
1,93,3
1,94,10
1,95,1
1,96,2
1,97,1
1,98,2
1,99,0
1,100,2
1,101,2
1,102,1
1,103,22
1,104,9
1,105,10
1,106,0
1,107,0
1,108,0
1,109,0
1,110,0
1,111,0
1,112,0
1,113,0
1,114,0
1,115,0
1,116,1
1,117,0
1,118,1
1,119,0
1,120,1
1,121,0
1,122,0
1,123,1
1,124,0
1,125,2
1,126,3
1,127,2
1,128,7
1,129,3
1,130,0
1,131,0
1,132,2
1,133,2
1,134,0
1,135,0
1,136,0
1,137,0
1,138,0
1,139,0
1,140,0
1,141,0
1,142,0
1,143,0
1,144,3
1,145,3
1,146,0
1,147,1
1,148,1
1,149,0
1,150,0
1,151,0
2,1,5
2,2,24
2,3,5
2,4,9
2,5,10
2,6,16
2,7,19
2,8,4
2,9,21
2,10,23
2,11,2
2,12,8
2,13,0
2,14,2
2,15,1
2,16,3
2,17,4
2,18,1
2,19,2
2,20,0
2,21,3
2,22,0
2,23,5
2,24,4
2,25,2
2,26,12
2,27,4
2,28,8
2,29,5
2,30,13
2,31,7
2,32,7
2,33,20
2,34,0
2,35,4
2,36,2
2,37,2
2,38,6
2,39,10
2,40,6
2,41,9
2,42,7
2,43,5
