ref_id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
103,2576.24,-2.1835,0.97308,0.61677,2.947069792,1.38,9497.77,1.58096,1.60566,2.09971,0,0.53682,8.71,4300
105,2306.78,-1.3156,1.06444,0.61677,2.706792503,1.38,9385.75,0.50011,0.71445,0.7859,0,0.53682,8.71,4000
82,2576.24,0.53677,1.08544,0.61677,2.633852898,1.38,9477.81,0.62678,0.73124,0.80089,0,0.53682,8.71,3200
84,1074.16,-16.407,1.00737,0.61677,2.6854,1.38,9379.04,1.0311,0.67103,2.47136,0,0.53682,8.71,2000
99,2306.78,-3.5948,0.94604,0.61677,2.674912103,1.38,9457.09,1.0382,0.23071,2.42246,0,0.53682,8.71,6400
98,4957.16,-4.1651,1.04392,0.61677,2.61813995,1.38,9125.31,0.86166,1.60022,3.87745,0,0.53682,8.71,4200
104,4957.16,-2.5309,1.13381,0.61677,2.789010853,1.38,9528.44,1.00905,0.70634,1.51358,1,0.53682,8.71,3600
107,4957.16,-1.4677,1.04035,0.61677,2.43662138,1.38,9080.47,0.75909,3.94727,1.82182,0,0.53682,8.71,2900
97,4957.16,-0.8399,1.00516,0.61677,2.564211855,1.38,9728.2,6.59214,1.39449,8.49372,0,0.53682,8.71,4800
100,4957.16,-1.8728,1.04035,0.61677,2.522304142,1.38,9842.35,2.60608,0.19304,2.99217,0,0.53682,8.71,4500
93,2160.7,-3.919,1.07799,0.61677,2.71115026,1.38,9261.67,0.22328,0.37212,0.54578,0,0.53682,8.71,2300
72,31375,-2.68,0.99412,0.6034,3.096471749,1.65591,13469.1,24.5833,0.83333,29.5833,0,7.65604,8.4375,16000
65,21282.7,-3.42,0.9847,0.6034,2.905440457,1.65591,13464.3,13.74408,0.23697,24.4076,0,6.82752,8.4375,14000
47,20156.1,-3.97,0.96951,0.6034,2.83320097,1.65591,13467.1,18.28981,1.90024,24.4656,1,8.74412,8.4375,10500
31,26771.3,-1.71,1.02984,0.6034,3.420037354,1.65591,13462.9,14.49275,3.1401,26.087,0,13.3417,8.4375,7400
41,28178,-4.78,0.98748,0.6034,2.730717421,1.65591,13472.6,16.08395,2.7972,12.5874,0,8.04328,8.4375,7500
48,38280.4,-5.92,0.97011,0.6034,2.783259899,1.65591,13477.5,24.88888,1.33333,15.1111,0,9.32069,8.4375,9300
60,36567.5,-4.21,0.97627,0.6034,2.942916237,1.65591,13463,15.625,2.5,28.75,0,10.1884,8.4375,14000
70,33675.4,-1.23,1.05138,0.6034,3.55269585,1.65591,13468.6,24.5742,0.48662,31.1436,0,6.83352,8.4375,6700
57,33455.6,-2.98,1.0433,0.6034,3.265745188,1.65591,13472.3,24.7475,1.51515,22.7273,0,8.89013,8.4375,6900
37,19979.2,-3.6,1.02597,0.6034,3.284135086,1.65591,13471.7,20.8226,1.02828,20.3085,0,8.85369,8.4375,6800
81,49976.2,-6.84,0.9927,0.58389,2.87856464,1.37,984566,16.92308,1.53846,54.6154,0,15.5982,7.82307,18000
90,31497.9,-4.36,0.99707,0.58389,3.170818871,1.37,907333,16.31574,4.21053,46.8421,0,12.3901,7.82307,6800
80,56378,-5.27,0.98642,0.58389,2.849964614,1.37,9531.13,25,2,34,0,11.2668,7.82307,8800
92,34174.8,-4.33,1.00592,0.58389,2.843847517,1.37,10576.6,16.19048,1.90476,24.2857,0,6.45561,7.82307,7800
78,40263.8,-5.04,0.99268,0.58389,2.942356879,1.37,11762.3,28.75,2.08333,43.75,0,6.78029,7.82307,6500
91,41732.9,-3.75,0.9961,0.58389,3.100351393,1.37,12751.9,28.5715,10.7143,87.8571,1,7.96392,7.82307,6380
