OBJECTID,AREA,TAZ,POPU,WORK,EMP,Length
1,20237489.4,4504,2142,1215,18,27061.57
2,8971957.1,4511,402,181,10,23242.65
3,7180775.84,4412,2227,993,1070,15310.08
4,6625105.57,6308,169,99,520,11351.42
5,1957384.74,6309,75,0,223,6288.64
6,5336216.46,6310,870,475,12,11817.37
7,4595197.21,6324,1231,648,23,8900.56
8,5070328.3,6311,246,129,66,11882.67
9,6238362.55,5313,115,35,44,13519.08
10,3562001.32,5303,3990,1913,187,10229.84
11,3771856.55,5311,2493,1421,128,10302.68
12,4644963.87,4320,96,69,42,9024.57
13,765894.51,4321,0,0,5,3792.85
14,1448665.64,4329,1182,587,155,5336.63
15,1878883.04,4401A,43,24,87,8184.19
16,16264089.73,4403,877,492,13,19646.19
17,1520755.78,4406,239,75,69,5861.27
18,4884677.76,4404,342,131,124,13617.85
19,12202707.95,6407,352,216,661,14089.54
20,19503674.77,4506,1439,754,17,20926.99
21,54251.62,4405,97,64,305,938.33
22,4411089.69,2417,257,114,315,9094.79
23,4322570.27,2409,177,95,56,13076.76
24,1776439.17,2429,252,139,29,7402.68
25,3261279.26,2406,95,49,7,7376.3
26,766271.78,2411,86,34,7,6210.77
27,3883042.46,2318,3556,1924,184,10733.54
28,3752660.97,2418,559,257,314,9508.05
29,3052985.6,2319,49,49,1030,9980.61
30,2053093.05,2431,146,94,590,7037.83
31,1983826.91,3334,969,512,1276,7523.41
32,2107131.28,3401A,9,9,5789,9497.24
33,1294758.43,3328,2674,1859,461,4972.65
34,3394508.09,2405,163,92,9,8110.06
35,4121178.82,2412,388,250,23,9477.05
36,1700281.7,3420,3071,1806,234,5740.06
37,2308375.19,3406,3448,1869,1399,7208.5
38,1100420.61,3416,988,575,757,4292.06
39,2202309.98,4304,3802,2057,199,7772.73
40,1791241.98,3329,3418,1946,174,6967.62
41,1200778.38,3332A,0,0,3496,9163.69
42,2577734.03,4305,3044,1596,210,7849.43
43,777086.07,3331,3,3,609,4364.75
44,5998994.58,4313,81,53,20,11097.13
45,2641546.24,4407,0,0,726,6623.15
46,3388203.54,4408,49,23,33,9884.94
47,8876895.85,9502,864,425,44,14244.47
48,2876546.59,8325,3770,2296,173,7340.03
49,2631964.56,8201,0,0,271,7699.53
50,9422446.38,8410,5634,2788,380,14251.5
51,3252377.81,1416,0,0,48,7669.19
52,7009177.7,9401,882,509,148,11548.96
53,1448239,8415,164,115,1337,5355.77
54,366313.26,9408,0,0,714,6746.73
55,1508966.65,9411A,75,15,805,5477.41
56,679554.63,9323,291,177,478,3849.08
57,3955803.22,9301,7860,4704,1196,9891.14
58,4211261.27,8311,2375,1323,510,8694.62
59,1164433.48,9312,1515,956,662,6294.84
60,667821.27,9212,1590,878,187,5173.89
61,966568.6,8311B,237,126,23,5766.55
62,3112421.95,9313,2989,1345,2017,8943.47
63,799283.12,9407,995,610,1700,6400.98
64,1232238.72,9413,2965,1744,261,5680.17
65,1819281.8,9409,2184,1115,139,5946.35
66,1383352.13,8313,399,159,18,7483.34
67,2842333.47,8202,2532,1423,678,7260.55
68,2582078.49,8203,1829,1103,625,6860.58
69,1406239.39,7328,21,12,2953,5521
70,909089.62,7327,0,0,232,5212.14
71,1207427.18,7306B,353,149,1037,6104.58
72,1373155.79,8208,727,428,148,5046.15
73,808371.91,7309,0,0,856,4442.56
74,173320.83,7332A,0,0,684,2534.57
75,293508.25,7308,865,357,474,2386.29
76,850761.02,7315,2165,1166,66,3870.08
77,946826.62,7314,3273,1141,600,4027.79
78,2272591.44,1409,3736,1925,2106,6381.68
79,483365.48,1402,0,0,2502,4212.8
80,1684298.23,1407,1513,723,6127,5765.61
81,617605.37,1403,12,0,1408,3771.53
82,1295375.11,1445A,0,0,1001,4836.88
83,56552.63,1403A,0,0,259,1349.85
84,2434760.85,1438,6031,4033,401,7740.36
85,235800.21,1439,222,200,376,2295.93
86,639695.97,1440,600,324,151,3421.29
87,3486665.86,7316,2415,1127,325,8142.34
88,2511791.22,6301,258,145,7,6910.29
89,3440031.33,6212,364,151,91,8560.64
90,2068077.09,6302,33,11,56,11203.79
91,1015064.54,6302A,48,43,811,4766.45
92,628332.06,6320,1034,493,219,5231.9
93,828706.32,6319A,117,52,82,5524.53
94,2442476.64,6306,593,340,6,6487.95
95,260684.64,6319,279,103,267,3105.01
96,1199960.27,6318,1797,922,697,4701.77
97,1868061.5,1424,2880,1424,319,5976.35
98,965486.18,1418,123,48,4051,4033.17
99,1048426.33,1419,1513,794,562,4597.33
100,504564.93,1421A,0,0,8,8071.35
101,774750.52,1454,1618,795,186,6729.55
102,1163578.94,1421,2050,1018,35,4912.5
103,103074.62,8506,19,19,9,2426.54
104,13346563.01,8402,593,269,22,18923.7
105,5246306.74,8416,204,110,12,11486.51
106,7392271.13,7401,409,221,12,12222.25
107,2467507.98,7301,654,467,373,9892.17
108,3273366.32,7312,4246,2077,1322,13856.18
109,2697534.38,7326,8,8,2253,8486.26
110,2649292.57,8319,1293,694,2013,8561.61
111,1727748.67,8320,242,117,1906,7036.39
112,3802096.14,7406,211,129,116,8651.55
113,2173480.19,7302,16,5,37,5991.08
114,4747624.47,7407,963,560,24,9492.63
115,6963951.49,7409,605,336,54,13829.51
116,4309922.98,7321,1602,708,70,11307.88
117,2494592.91,7318,20,20,526,7081.48
118,3346400.14,7405,225,125,35,7791.76
119,4092129.45,7320,181,92,24,9778.19
120,5603522.9,7319,158,93,32,9622.27
121,1535685.73,6323,1091,579,8,5208.89
122,2522271.88,7323,3226,2139,292,7552.99
123,1973320.9,7303,4171,2115,1160,7076.37
124,2564820.09,7313,5977,3723,179,7044.62
125,659213.18,7310,0,0,1956,3507.86
126,658921.56,7311,2820,1682,1211,4486.63
127,2072093.25,7333,16,0,368,5970.12
128,1875960.89,7322,1750,900,35,6269.32
129,681730.75,7324,1327,664,139,4002.27
130,48788.05,7325,38,28,702,1228.67
131,94079.06,7325B,4,4,67,1684.85
132,24906.63,7325A,72,32,16,792.57
133,1040175.28,7317,1178,222,704,4707.81
134,845277.29,7334,1677,827,464,4081.93
135,856284.01,7305A,90,42,2140,3889.34
136,405496.52,7329A,1014,663,1598,3510.05
137,147862.98,7330A,435,123,363,2066.27
138,892029.78,7304,0,0,4617,3717.15
139,137816.4,7332B,0,0,255,2415.64
140,63950.94,7329,0,0,793,1023.11
141,2444264.17,8409,33,14,89,7513.62
142,7657282.2,8404,563,255,14,14405.85
143,2804367.58,8412,0,0,994,8868.79
144,4543085.56,8407,301,167,261,8670.17
145,258937.57,8302A,16,8,546,3125.63
146,1313386.41,8301A,1492,788,128,8846.1
147,425195.82,8301,1241,603,78,2959
148,2098533.67,8306A,1495,790,1005,7915.95
149,671613.11,8306,13,6,141,4740.33
150,1805806.88,8316A,731,273,217,6590.32
151,1444814.1,8315A,62,23,320,7975.72
152,2092474.33,8315,432,259,26,8629.14
153,6954339.58,8317,2373,1357,202,10457.07
154,79527.48,8316,0,0,15,2372.21
155,2115495.79,8312,191,147,1291,6307.86
156,6386101.38,8408,377,187,11,10610.71
157,1223468.63,8304,2010,1019,119,6647.25
158,3296514.42,8314,919,448,665,9345.38
159,863739.93,8314A,0,0,295,5472.51
160,957087.7,8321A,231,127,286,5940.79
161,978924.68,8321,0,0,580,6902.02
162,790543.12,8323,0,0,439,4275.12
163,3378053.91,8324,56,34,3318,7600.73
164,1672081.63,8322,0,0,1063,6604.38
165,2959732.29,8318,332,232,110,7261.87
166,753538.93,8303,1861,916,530,3773.84
167,329758.67,8303A,150,92,159,4572.59
168,166310.96,8304C,51,0,277,1638.43
169,80189.24,8302,124,71,84,1556.03
170,107229.91,8302B,68,26,166,1637.76
171,152602.33,8305,250,181,70,2610.23
172,117001.53,8304B,39,6,199,1438.86
173,39914.37,8313B,0,0,32,987.1
174,503271.27,8313C,0,0,21,2983.59
175,5307.13,8321B,0,0,7,315.41
176,2663285.17,8326,196,94,45,9917.38
177,2643135.7,8308,156,110,17,8567.66
178,2929430.88,8307,63,26,1033,7507.78
179,1919785.96,8414,5,5,6812,5532.82
180,1624172.55,8309,501,265,1647,5743.2
181,2455757.39,8327,2662,1672,130,6895.6
182,155038.38,8309C,26,0,15,2317.67
183,3559632.22,8413,86,47,1543,7783.08
184,3157445.44,8310,4105,2400,64,10438.63
185,123856.68,8310A,105,62,10,3089.6
186,1513256.27,8417,1780,1068,1202,6699.29
187,145917.5,9301A,22,22,182,2513.28
188,108034.75,8418,58,37,519,1372.98
189,94550.36,8309A,13,6,89,1896.32
190,9628206.09,8501,940,346,18,15218.96
191,6947501.98,8503,2511,1141,78,13957.08
192,3608853.14,8504,2154,1032,62,11849.3
193,8993726.42,8411,3070,1591,403,13682.99
194,7665092.48,8507,192,96,5,13195.9
195,2651708.89,8204,1383,610,895,7195.29
196,316432.51,8207A,0,0,75,3716.28
197,1496521.19,9116,132,100,3702,5943.5
198,684750.78,9124,1262,685,178,3446.06
199,334591.12,9115,175,108,623,4396.22
200,2268768.31,1415,4682,2979,809,9108.15
201,223977.16,1430B,592,348,708,1939.37
202,678070.99,1342,1876,1126,111,7347.21
203,1540460.65,1315,5000,3178,474,7348.91
204,1972795.3,1331,6076,3546,675,9587.96
205,181775.26,1345B,674,498,407,2368.04
206,619892.86,1328A,1051,753,3410,3889.55
207,1271203.71,1329,3549,1896,651,6158.94
